동유럽,서유럽,서아프리카,중앙아프리카,남아프리카,동아프리카,중동,중앙아시아,서아시아,인도차이나,남아시아,동아시아,오세아니아,북아메리카,중앙아메리카,라틴아메리카
에스토니아,영국,리비아,코트디부아르,남아프리카공화국,에르뜨레아,조지아,카자흐스탄,인도,미얀마,브루나이,몽골리아,호주,캐나다,멕시코,브라질
라트비아,아일랜드,튀니지,가나,레소토,지부티,얍하지야,우즈베키스탄,스리랑카,태국,동티모르,중국,뉴질랜드,미국,벨리즈,에콰도르
리투아니아,독일,알제리,부르기나파소,스와질란드,소말리아,남오세티아,투르크메니스탄,몰디브,라오스,코코스제도,일본,피지,그린란드,과테말라,페루
러시아,네덜란드,모로코,토고,모잠비크,에디오피아,아제르바이잔,타지키스탄,네팔,캄보디아,크리스마스,대만,파퓨아뉴기니,,온두라스,볼리비아
벨라루스,벨기에,모리타니,베냉,마다가스카르,우간다,아르메니아,키르키즈스탄,부탄,베트남,인도네시아,필리핀,솔로몬,,엘살바도르,파라과이
우크라이나,룩셈부르크,말리,나이지리아,레위니옹,케냐,튀르키예,,방글라데시,안마만제도,말레이시아,홍콩,바누아투,,니카라과,아르헨티나
몰도바,프랑스 ,세네갈,니제르,모리셔스,르완다,키프로스,,파키스탄,,싱가포르,캄차카반도,키리바시,,쿠바,칠레
트란스트리아,모나코,감비아,차드,마요트,부룬디,북기프로스,,아프가니스탄,,,,마셜제도,,자메이카,우루과이
루마니아,스위스,기니비사우,중앙아프리카,코모로,탄자니아,시리아,,래카다이브,,,,미크로네시아,,아이티,프랑스령 폴리네시아
불가리아,오스트리아,기니,카메룬,말라위,남수단,레바논,,,,,,북마리아나제도,,도미니카공화국,
헝가리,슬로베니아,시애라리온,적도기니,잠바브웨,수단,이스라엘,,,,,,나우루,,푸에르토니고,
슬로바키아,포르투갈,라이베리아,가봉,보즈와나,이집트,팔레스타인,,,,,,팔라우,,바하마,
폴란드,스페인,서사하라,콩고공화국,나미비아,세이셸,요르단,,,,,,통가,,버뮤다,
체코,이탈리아,마데이라,콩고,,,사우디아라비아,,,,,,사모아,,생피에르마클롱,
,안도라,카보베르데,앙골라,,,예멘,,,,,,투발루,,아루바,
,바티칸시국,카나리아제도,잠비아,,,오만,,,,,,쿡제도,,네덜란드엔틸레스,
,산마리노,,상투메프린시페,,,아랍에미리트,,,,,,뉴칼레도니아,,버진제도,
,몰타,,세인트헬레나,,,카타르,,,,,,프랑스령,,과델루프,
,크로아티아,,,,,바레인,,,,,,미국령,,생바르텔레미,
,아이슬란드,,,,,쿠웨이트,,,,,,윌리스,,생마르텡,
,노르웨이,,,,,이라크,,,,,,니우에,,케이맨제도,
,스웨덴,,,,,이란,,,,,,,,세인트키츠네비스,
,보스니아 헤르체코비나,,,,,체첸,,,,,,,,세인트빈센트 그레나딘,
,세르비아,,,,,,,,,,,,,포클랜드제도,
,코소보,,,,,,,,,,,,,트르니타드토바고,
,몬테네그로,,,,,,,,,,,,,세인트루시아,
,북마케도니아,,,,,,,,,,,,,그레나다,
,알바니아,,,,,,,,,,,,,투르크앤카이코스,
,그리스,,,,,,,,,,,,,앤티가 바브다,
,핀란드,,,,,,,,,,,,,바베이도스,
,덴마크,,,,,,,,,,,,,도미니카연방,
,리히텐슈타인,,,,,,,,,,,,,몬트세렛,
,페로제도,,,,,,,,,,,,,마르티니크,
,건지,,,,,,,,,,,,,코스타리카,
,맨섬,,,,,,,,,,,,,파나마,
,올란드제도,,,,,,,,,,,,,콜롬비아,
,지브롤터,,,,,,,,,,,,,베네수엘라,
,세우타,,,,,,,,,,,,,가이아나,
,,,,,,,,,,,,,,수리남,
,,,,,,,,,,,,,,기아나,
